subtype,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
HR+/HER2+,128,4.90291977454915,3.730551788762036,6.803530614644143,3.1297210313334003,0.90625,19.588431596840792,22.760154527078328,1.2479076077138944,3.451481682018844,0.05533914531745235
HR+/HER2-,312,5.235347252420384,4.589373591604415,7.365397250519223,3.770381261762433,0.8685897435897436,18.969353751650683,22.1397380852776,1.1681065657867036,3.4295031290340376,0.052483257403585865
HR-/HER2+,57,7.51869337208555,6.796940102581356,9.981238054665805,6.009343891716176,0.9122807017543859,19.075310021420957,22.247417887525923,1.1046328010160948,3.4825624609036763,0.0537061618573833
TNBC,261,5.85546550952978,5.10111571011978,7.999665542697603,4.255507646141935,0.8659003831417624,19.328561782227645,22.49887297580987,1.1531351610523903,3.4625886208833654,0.051829029231823066
