collection,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
ACRIN-6698,radial_bio_k8,Radial-bio k=8,202,4.520750451264625,3.636629872922695,6.439781950603535,2.905349858904043,0.8712871287128713,19.295132656111385,22.53637048522971,1.124101715098701,3.306248539879085,0.05508015621584274
ACRIN-6698,spatial_k4_bio,spatial_k4_bio,202,4.548621947952409,3.520300337670125,6.426074018914435,2.82014409167657,0.8712871287128713,19.130520417477417,22.681066527347912,1.1428185517973366,3.314381897867126,0.05526625506192182
ACRIN-6698,hybrid_a50_bio_k8,Hybrid-bio k=8,202,4.5537812475912185,3.658255460770154,6.721672043526994,2.9255488112823755,0.8811881188118812,18.60827579063715,21.779706569139183,1.1315519655083501,3.3053841477707926,0.05622079070241789
ACRIN-6698,radial_geo_k8,radial_geo_k8,202,4.5545211450276275,3.7728024033798078,6.559331444241956,3.0133142562952777,0.8762376237623762,19.146542718798994,22.940808024899606,1.1207043755800674,3.3044368422950834,0.05441167504890562
ACRIN-6698,radial_bio_k16,radial_bio_k16,202,4.596005401420374,3.739019127351764,6.648321166917636,2.997280161853075,0.900990099009901,20.538289077761416,23.923864514996843,1.1316847607820124,3.3129813594718613,0.05516599763609582
ISPY2,radial_bio_k8,Radial-bio k=8,556,5.878394652298961,5.1514270459650175,8.053852617012856,4.331689296698163,0.8723021582733813,20.325648703826737,23.56494371752674,1.1956521302851033,3.5120911333199403,0.051249589054500125
ISPY2,hybrid_a50_bio_k8,Hybrid-bio k=8,556,5.931619212374414,5.1964826846312,8.035829826985648,4.387090797252484,0.8758992805755396,19.42254172946824,22.59299640536309,1.1862235107423282,3.5006272014917257,0.05160110619431824
ISPY2,radial_bio_k16,radial_bio_k16,556,5.9787457123014365,5.385837607340647,8.312317063096366,4.546928398088689,0.8687050359712231,20.65837936193191,24.041453874960155,1.1975127981777232,3.5182431373425533,0.05061333346522053
ISPY2,spatial_k4_bio,spatial_k4_bio,556,6.073600340676796,5.291801240497262,8.25292879481265,4.447900224803518,0.8669064748201439,19.63797234391312,23.187541800123576,1.2058682811187567,3.5215986582963756,0.0504048506491459
ISPY2,radial_geo_k8,radial_geo_k8,556,6.123785765528476,5.403814593965392,8.328219697392166,4.530599140097476,0.8615107913669064,19.656458955149944,23.4483251430125,1.1951233872690885,3.516922245567363,0.050953267029504895
