subtype,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice,baseline_mae,mae_reduction_vs_original_ml
HR+/HER2+,bio_ftv010_alive000,bio_ftv010_alive000,128,5.681438482773934,3.9535496516712207,7.909707945487846,3.2731807215741977,0.8828125,23.27905423914418,26.246044849694584,1.2992308777666235,3.510761218425627,0.053785585693416134,13.658659782122538,7.977221299348604
HR+/HER2+,bio_ftv010_alive002,bio_ftv010_alive002,128,6.010183227640576,4.224472276902834,8.258542900735398,3.422892892904821,0.8984375,24.498887281806844,28.84570934297563,1.2910277119914053,3.4974364752188727,0.05391342471728613,13.658659782122538,7.648476554481961
HR+/HER2+,bio_ftv020_alive005,Endpoint-calibrated,128,6.100710971338096,4.191340192225083,8.236629041438214,3.4303772936759596,0.90625,24.66790962464794,28.19789232476712,1.294150506886549,3.4967848740663268,0.053951797626151175,13.658659782122538,7.557948810784442
HR+/HER2+,endpoint_full_k8,endpoint_full_k8,128,6.286684185428356,4.2294252524133285,8.255707622930263,3.4529708350156714,0.90625,25.28345381777523,29.8304808154967,1.294822296227021,3.4981061581453514,0.05308471343838947,13.658659782122538,7.371975596694181
HR+/HER2+,feature_all_k8,feature_all_k8,128,5.886792129434358,3.99377420070277,8.232580502783454,3.3230758670735647,0.8984375,22.693817610734094,26.869935843754657,1.2559667487706245,3.4664339542842253,0.05569744483172778,13.658659782122538,7.771867652688179
HR+/HER2+,feature_pe_ser_k8,feature_pe_ser_k8,128,5.995876926841065,4.040991163265491,7.948983692145899,3.365378878034885,0.875,25.185649158593133,29.708967813359425,1.2503761692493887,3.458896820885515,0.054479620623637155,13.658659782122538,7.662782855281472
HR+/HER2+,feature_volume_k8,feature_volume_k8,128,5.662834725982466,3.8707941929308407,8.03343562961608,3.1879856911146534,0.90625,24.110717386995134,27.384477763551246,1.2689395663612213,3.468628445715923,0.05467987693178853,13.658659782122538,7.995825056140071
HR+/HER2+,hybrid_a25_k8,hybrid_a25_k8,128,6.115142734635607,4.057427631400685,8.367286334116143,3.3590353823854717,0.8828125,25.049843052640178,29.396091212483338,1.2829703894953977,3.482533181825716,0.05356927448508185,13.658659782122538,7.54351704748693
HR+/HER2+,hybrid_a50_bio_k8,Hybrid-bio k=8,128,4.90291977454915,3.730551788762036,6.803530614644143,3.1297210313334003,0.90625,19.588431596840792,22.760154527078328,1.2479076077138944,3.451481682018844,0.05533914531745235,13.658659782122538,8.755740007573387
HR+/HER2+,hybrid_a50_k8,hybrid_a50_k8,128,5.856779947948984,4.028158908945284,8.094780156656004,3.336236798263709,0.890625,24.172264573878987,29.159757861261387,1.2910875945526274,3.494630398000517,0.05400141219898865,13.658659782122538,7.801879834173554
