collection,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
ACRIN-6698,202,4.5537812475912185,3.658255460770154,6.721672043526994,2.9255488112823755,0.8811881188118812,18.60827579063715,21.779706569139183,1.1315519655083501,3.3053841477707926,0.05622079070241789
ISPY2,556,5.931619212374414,5.1964826846312,8.035829826985648,4.387090797252484,0.8758992805755396,19.42254172946824,22.59299640536309,1.1862235107423282,3.5006272014917257,0.05160110619431824
