model_tag,model_label,bucket,conditioning_context,start_visit,predicted_visit,n_rows,n_patients,obs_ftv_ml_mean,det_ftv_ml_mean,det_ftv_bias_ml_mean,det_ftv_bias_ml_se,det_ftv_mae_ml_mean,det_ftv_mae_ml_se,mc_mean_ftv_ml_mean,mc_mean_ftv_bias_ml_mean,mc_mean_ftv_bias_ml_se,mc_mean_ftv_mae_ml_mean,mc_mean_ftv_mae_ml_se,mc_median_ftv_ml_mean,mc_median_ftv_bias_ml_mean,mc_median_ftv_bias_ml_se,mc_median_ftv_mae_ml_mean,mc_median_ftv_mae_ml_se,coverage90_ftv_raw_mean,coverage90_ftv_conformal_mean,ftv_raw_width90_ml_mean,ftv_conformal_width90_ml_mean,crps_ftv_mean,near_zero_ftv_prob_mean,alive_det_abs_err_mean,alive_count_abs_err_mc_mean_mean,swd_mm_mc_mean_mean,chamfer_mm_mc_mean_mean,dice_mc_mean_mean,high_t3_obs_ftv_p90_threshold_ml,high_t3_n_patients,high_t3_obs_ftv_ml_mean,high_t3_det_ftv_mae_ml_mean,high_t3_mc_mean_ftv_mae_ml_mean,high_t3_mc_median_ftv_mae_ml_mean,det_ftv_mae_ml_mean_change_vs_baseline,det_ftv_mae_ml_mean_reduction_vs_baseline_pct,mc_mean_ftv_mae_ml_mean_change_vs_baseline,mc_mean_ftv_mae_ml_mean_reduction_vs_baseline_pct,mc_median_ftv_mae_ml_mean_change_vs_baseline,mc_median_ftv_mae_ml_mean_reduction_vs_baseline_pct,coverage90_ftv_raw_mean_change_vs_baseline,coverage90_ftv_conformal_mean_change_vs_baseline,ftv_raw_width90_ml_mean_change_vs_baseline,ftv_raw_width90_ml_mean_reduction_vs_baseline_pct,ftv_conformal_width90_ml_mean_change_vs_baseline,ftv_conformal_width90_ml_mean_reduction_vs_baseline_pct,crps_ftv_mean_change_vs_baseline,crps_ftv_mean_reduction_vs_baseline_pct,alive_det_abs_err_mean_change_vs_baseline,alive_det_abs_err_mean_reduction_vs_baseline_pct,alive_count_abs_err_mc_mean_mean_change_vs_baseline,alive_count_abs_err_mc_mean_mean_reduction_vs_baseline_pct,swd_mm_mc_mean_mean_change_vs_baseline,swd_mm_mc_mean_mean_reduction_vs_baseline_pct,chamfer_mm_mc_mean_mean_change_vs_baseline,chamfer_mm_mc_mean_mean_reduction_vs_baseline_pct,dice_mc_mean_mean_change_vs_baseline
bio_ftv020_alive005,High FTV + high alive,T1->T3,"T0,T1->T3",T1,T3,758,758,24.941126401705645,23.022596148389525,-1.9185302533161175,0.5207107731963767,5.588915532068358,0.48449887150907456,27.41155393825021,2.47042753654457,0.502825158496193,7.184508866397262,0.43898605935718943,25.07574556863676,0.1346191669311141,0.4998747931872709,5.834238136799761,0.45269633704177464,0.8575197889182058,0.9010554089709762,24.47034989123393,29.613435182696062,4.888666915505546,0.04908579320580475,1.8090225983420902,2.645087813324538,1.705538512829225,4.243271978930488,0.03750489224770606,58.794409700669355,76,115.0614352230263,27.978719420317695,24.858701809220236,25.40332109748917,-7.5829928157853255,57.569431972406235,-7.690902184757191,51.70211537892471,-4.766885180577586,44.96584972994055,0.09366754617414252,0.0,-33.46847626496905,57.76519561293508,-30.530273762112987,50.762206551194126,-3.209438016922091,39.63196381995967,-77.79933711856917,97.72759719610477,-38.66638666721636,93.59720792689096,-0.10834479183468049,5.973085013578406,-0.1777453666223785,4.0204630004714605,0.003412995426684641
bio_ftv020_alive005,High FTV + high alive,T2->T3,"T0,T1,T2->T3",T2,T3,758,758,24.941126401705645,23.503238189908345,-1.4378882117973009,0.39745896704147754,4.64542312546993,0.36358991803064905,27.103485751359155,2.1623593496535056,0.3866896180034174,5.8024808441205336,0.33351013669774254,25.499491468851943,0.5583650671463016,0.3829634979092985,4.857974191821739,0.34043694460763635,0.8733509234828496,0.9010554089709762,20.971494792069304,24.192992685026333,4.024771280863164,0.045596965699208444,1.7585625515606913,2.6647942777044853,2.8804170062166454,5.5863518764796884,0.03890301326831874,58.794409700669355,76,115.0614352230263,21.14952875405362,18.258064060614558,18.52553949883697,-8.401312306127465,64.39398077913533,-7.999636047748203,57.959486290548966,-5.067969289554597,51.057809255749156,0.09762532981530347,0.0,-36.93828802725092,63.78592049377767,-36.05651144040366,59.84532481020869,-3.4649569789789254,46.262786295693715,-78.76966532855118,97.81621600542509,-38.97648004617414,93.60059383154756,-0.08528327997605833,2.875654036016667,-0.15147143425652843,2.6398762397075837,0.003429078875580742
bio_ftv010_alive000,FTV-only ablation,T0->T1,T0->T1,T0,T1,758,758,24.31066286634955,22.630472006011665,-1.680190860337883,0.49972006983097805,4.683194470759023,0.4737897507851948,25.75593771675938,1.4452748504098294,0.49572193580726626,5.796581961432157,0.45178907069661195,23.748753655616195,-0.561909210733354,0.4925889472691077,4.728567259296385,0.4620867663166732,0.8641160949868074,0.9010554089709762,19.364204249591207,21.937403757412184,3.9933317097549876,0.04353562005277045,7.382273821528795,4.500360735488127,1.1735149200211896,3.4564048557403644,0.05071381420747276,,0,,,,,-7.200638002769461,60.5918841317315,-7.282033205209935,55.67893169441411,-4.682159989973204,49.7534342028307,0.112137203166227,0.0,-32.83773219040174,62.90519936583061,-32.15990404647579,59.44825232904558,-3.067353699596026,43.4427186847001,-69.43504888095703,90.38983192616539,-34.02157198218997,88.31740668758587,-0.1164713248225755,9.028881144130475,-0.1579568733674499,4.370256360766655,0.003825017726661044
bio_ftv010_alive000,FTV-only ablation,T0->T2,T0->T2,T0,T2,758,758,24.747744686521646,22.36662419076297,-2.3811204957586742,0.5918183861937616,5.541736659901995,0.5631781211752073,26.785411916245156,2.037667229723511,0.5813751890997836,7.2188944669684725,0.5240623041491191,24.150602297946573,-0.5971423885750756,0.5776503065729931,5.681456150458372,0.539916943674214,0.8614775725593667,0.9010554089709762,23.532481402187216,28.084025445871195,4.835082938316547,0.04487549472295514,10.531475012252073,7.536341523746702,1.2232716225230715,3.530313475979039,0.048492502588720864,,0,,,,,-7.315186761353301,56.89686810500639,-7.240260386955595,50.073883709673815,-4.540861595163793,44.42105702602009,0.06860158311345643,0.0,-32.043528711691366,57.6571233631782,-29.47409082717306,51.20753203137127,-2.963177927881252,37.997932856098586,-67.3782202389907,86.48245898242803,-32.50145324868074,81.17693153036315,-0.11424663628863585,8.54168797591863,-0.16568859395674584,4.482913992513661,0.003663862732257113
bio_ftv010_alive000,FTV-only ablation,T0->T3,T0->T3,T0,T3,758,758,24.941126401705645,23.4354995564894,-1.505626845216242,0.6189825577799314,5.994547561057249,0.5819486723179403,26.07992978694438,1.1388033852387351,0.6204151599341331,7.305523685605937,0.5622501848096417,23.527756933939248,-1.4133694677663975,0.6157131859200772,6.026381365961727,0.5777251263489682,0.8746701846965699,0.9010554089709762,23.958590066719648,26.923149448704347,5.145158073161813,0.06257730046174143,9.664481886615853,7.004911156002638,1.2143383627789202,3.498403924842719,0.0509831409775646,58.794409700669355,76,115.0614352230263,32.06515190910112,30.852659454089533,31.632269316344264,-6.883671372805582,53.452044946255775,-7.956416323296956,52.13240465272215,-4.6678820076628735,43.64846688903633,0.10817941952506593,0.0,-32.91325062146713,57.87266637266367,-32.59144858848133,54.76210822782953,-3.2088805851695046,38.411129232318686,-69.14695175943558,87.73720837255694,-33.7781116012533,82.82395300197224,-0.10607253382330284,8.033297369497356,-0.15770345930762142,4.313425256361032,0.0036127536448021316
bio_ftv010_alive000,FTV-only ablation,T1->T2,"T0,T1->T2",T1,T2,758,758,24.747744686521646,22.65755362215611,-2.090191064365534,0.42816471700067504,5.098963982415483,0.3933840393509656,27.209872789384434,2.4621281028627897,0.41822351957107656,6.285780509675527,0.3615587105828915,25.305779044011715,0.5580343574900699,0.41417068872919227,5.17054563523208,0.3696380486130928,0.862796833773087,0.9010554089709762,22.641554459632374,27.63120616640798,4.334743350737831,0.0406033558707124,8.199972365257922,6.1852376731530345,1.6355499443101293,4.163224379842506,0.03960209508674438,,0,,,,,-7.821098614695408,60.53452571076797,-7.125304218026634,53.129961988149155,-4.524061621586463,46.66575449360817,0.06992084432717671,0.0,-31.56948308975108,58.23441962532614,-28.617812781495683,50.87699895352973,-2.9429497894737446,40.43794830003217,-70.1760603535483,89.53765318196521,-34.229448383905016,84.69556916903765,-0.1321874514062602,7.477776491382658,-0.17399751346091907,4.011727270158056,0.003255037675257519
bio_ftv010_alive000,FTV-only ablation,T1->T3,"T0,T1->T3",T1,T3,758,758,24.941126401705645,22.893222510780408,-2.047903890925234,0.5272224678261995,5.613857028992617,0.49180458182385484,27.002750743251777,2.0616243415461275,0.516791598853252,7.169886527947101,0.4525251395871864,24.503233990000588,-0.4378924117050599,0.5129438277423346,5.77669218927863,0.4682761389402647,0.8548812664907651,0.9010554089709762,24.795844455972254,31.003878887948403,4.8751961951303375,0.04673070580474934,9.444999088083534,6.850475140171504,1.720755208951754,4.27707634569761,0.03713646038535404,58.794409700669355,76,115.0614352230263,28.534093051585266,25.982059755155838,26.651729064948523,-7.558051318861067,57.38007826400208,-7.705524523207352,51.800414097527344,-4.824431128098717,45.50867850193306,0.09102902374670185,0.0,-33.14298170023072,57.20340555550314,-29.139830056860646,48.45033764645418,-3.222908737297299,39.798307927471384,-70.16336062882773,88.13566926680801,-34.46099934036939,83.41750027973872,-0.09312809571215164,5.1341834104045265,-0.1439409998552561,3.255834316055046,0.0030445635643326224
bio_ftv010_alive000,FTV-only ablation,T2->T3,"T0,T1,T2->T3",T2,T3,758,758,24.941126401705645,23.196267716599586,-1.7448586851060552,0.40511933789020516,4.72045229144934,0.37243525798077914,26.990672496680887,2.04954609497524,0.3934588750157917,5.886573061138474,0.3385023756370477,25.19903000127633,0.25790359957069015,0.3897981644401613,4.820209547551039,0.34833563355445674,0.8799472295514512,0.9010554089709762,21.57091072755688,24.559385494444452,4.015886416004414,0.042494640501319264,7.291717352638006,5.81998268469657,2.9062442965751525,5.633808083325734,0.03870130385047547,58.794409700669355,76,115.0614352230263,21.956673550675006,18.790996948278647,19.153887210912828,-8.326283140148053,63.81890078021314,-7.915543830730263,57.35021585995666,-5.105733933825297,51.43827328258506,0.1042216358839051,0.0,-36.33887209176334,62.7508346994521,-35.69011863098554,59.237198959653384,-3.4738418438376755,46.38141362836195,-73.23651052747387,90.94514117025683,-35.82129163918206,86.02352406549869,-0.059455989617551275,2.0047875334658136,-0.10401522741048286,1.812799414995174,0.0032273694577374668
bio_ftv010_alive002,Medium FTV + medium alive,T0->T1,T0->T1,T0,T1,758,758,24.31066286634955,23.081743504007306,-1.2289193623422419,0.4986013555503518,4.668447572614391,0.47096481406864965,25.74121294483989,1.4305500784903404,0.491101129945956,5.601733642364203,0.4499237508298984,24.008072669410307,-0.30259019693924205,0.4897222879199953,4.704920089213732,0.459028067857907,0.8759894459102903,0.9010554089709762,18.4152183573541,20.32143797305624,3.9651019240999186,0.04993609828496042,0.640633376968882,0.7842183377308707,1.167879514765399,3.445061395181068,0.05105328086027784,,0,,,,,-7.215384900914093,60.71597623903343,-7.476881524277888,57.16875547610108,-4.7058071600558575,50.004713083370866,0.12401055408970985,0.0,-33.78671808263884,64.72311256398942,-33.77586983083173,62.435398732364014,-3.0955834852510953,43.84253519001673,-76.17668932551695,99.16603006401296,-37.73771437994723,97.96422899266686,-0.12210673007836603,9.465738922910361,-0.16930033392674648,4.684100447481701,0.004164484379466128
bio_ftv010_alive002,Medium FTV + medium alive,T0->T2,T0->T2,T0,T2,758,758,24.747744686521646,22.75431023728327,-1.9934344492383718,0.5882624592459605,5.532972941341377,0.5575492479910423,26.92424158186151,2.1764968953398625,0.5756992087729984,7.2016287583185905,0.5188212853117476,24.688915659177567,-0.058829027344076,0.5702714666268623,5.779693106472624,0.5301756077380076,0.8693931398416886,0.9010554089709762,22.684950682113953,26.946042304461532,4.890512584245058,0.05164186180738786,1.9669495585096857,2.8435644788918206,1.2106395830386885,3.5148072087955655,0.04902367196621752,,0,,,,,-7.323950479913918,56.965031523838995,-7.257526095605477,50.193293929872105,-4.442624639149542,43.46005230616267,0.07651715039577833,0.0,-32.89105943176463,59.18211718395918,-30.612073968582724,53.18463485386688,-2.907748281952741,37.28713788681544,-75.9427456927331,97.47534687157142,-37.19423029353562,92.8977994541046,-0.12687867577301892,9.486126633197657,-0.1811948611402192,4.902455618575109,0.00419503210975377
bio_ftv010_alive002,Medium FTV + medium alive,T0->T3,T0->T3,T0,T3,758,758,24.941126401705645,23.442764631405197,-1.4983617703004475,0.6143809841860642,5.9873080511511,0.5771261575958739,26.7001496444855,1.7590232427798582,0.604114432893412,7.5254304321994026,0.5424301029277278,24.193402436268084,-0.7477239654375635,0.6006264396745623,6.123037849698578,0.5585375003961274,0.8825857519788918,0.9010554089709762,24.809935512550197,29.138244730142745,5.186175190825248,0.06218564478891821,1.857066290045162,2.703557882585752,1.2053860771385356,3.4851331822597547,0.05142947251765349,58.794409700669355,76,115.0614352230263,31.933425079725215,29.79437540211811,30.430934085288204,-6.890910882711731,53.5082600948204,-7.736509576703491,50.69152134126119,-4.571225523926023,42.74465069936556,0.11609498680738783,0.0,-32.06190517563658,56.37571210579152,-30.376353307042926,51.04017217433493,-3.16786346750607,37.9201437420549,-76.95436735600626,97.64365878891962,-38.07946487467018,93.37087420253873,-0.11502481946368737,8.71128977802876,-0.17097420189058576,4.676399895467491,0.004059085184891023
bio_ftv010_alive002,Medium FTV + medium alive,T1->T2,"T0,T1->T2",T1,T2,758,758,24.747744686521646,23.00508861150334,-1.742656075018306,0.42411079148596154,5.025963574111193,0.38795964375443603,27.256719272565984,2.5089745860443435,0.4133685259922309,6.227006807066888,0.35772399598155946,25.58720074493006,0.8394560584084109,0.4100276555423821,5.200062304691207,0.3651475986503379,0.8562005277044855,0.9010554089709762,22.29490987995044,27.453913730468837,4.346216495999376,0.045658806068601586,1.8877542176944915,2.7676399653693933,1.6368715516775254,4.1600568221238365,0.03993329514480229,,0,,,,,-7.894099022999697,61.09954161340464,-7.184077920635272,53.56820918292852,-4.4945449521273355,46.36128966406732,0.0633245382585752,0.0,-31.916127669433017,58.873855052781586,-28.795105217434827,51.19219100355169,-2.9314766442122,40.28030019588015,-76.48827850111172,97.59141391544111,-37.64704609168866,93.15189542370317,-0.13086584403886414,7.40301383881907,-0.1771650711795889,4.084759220023487,0.0035862377333154283
bio_ftv010_alive002,Medium FTV + medium alive,T1->T3,"T0,T1->T3",T1,T3,758,758,24.941126401705645,23.129507788596218,-1.8116186131094274,0.52310087042787,5.61906963666415,0.4860665601033421,27.188736667346152,2.24761026564051,0.5074447325306926,7.135565683485361,0.4437487013153829,24.935210446935198,-0.005915954770451394,0.5045578981325063,5.860145393988541,0.45739886321566015,0.8654353562005277,0.9010554089709762,24.290567722382153,30.447528192779576,4.8983149343260814,0.05208505112137203,1.836379219799998,2.703954691622691,1.7143360812701338,4.256575205543162,0.0374689432771958,58.794409700669355,76,115.0614352230263,28.08620251357653,25.288158830823598,25.817960066842353,-7.552838711189533,57.34050459302081,-7.7398453676690915,52.03113608795648,-4.740977923388806,44.72146754125011,0.10158311345646442,0.0,-33.64825843382083,58.07549214598373,-29.696180752029473,49.37537320699695,-3.199789998101555,39.51282460280899,-77.77198049711127,97.69323319016974,-38.607519788918204,93.45471270240827,-0.09954722339377176,5.488072090294522,-0.16444214000970447,3.7195542825706855,0.0033770464561743777
bio_ftv010_alive002,Medium FTV + medium alive,T2->T3,"T0,T1,T2->T3",T2,T3,758,758,24.941126401705645,23.52673538368088,-1.4143910180247625,0.3998620612562361,4.668676339778719,0.3657034658698293,27.074867736063347,2.1337413343577007,0.3874157829352638,5.805554177479917,0.33403832144533546,25.472026449821534,0.5309000481158889,0.3855419757868695,4.872837758375381,0.3429989864601924,0.8720316622691293,0.9010554089709762,20.978176251779445,24.834103406811526,4.0290083871086235,0.046498804419525065,1.7733603715110267,2.6817024653693933,2.880156780636568,5.587355954587768,0.039009467478128466,58.794409700669355,76,115.0614352230263,21.243724053222092,18.395224516394137,18.661864513437344,-8.378059091818674,64.21575064309322,-7.99656271438882,57.93721917468942,-5.0531057230009555,50.90806463367339,0.0963060686015832,0.0,-36.931606567540776,63.77438278911905,-35.41540071861847,58.7812318668867,-3.460719872733466,46.20621406638898,-78.75486750860084,97.79784006404417,-38.959571858509236,93.55998943617438,-0.08554350555613555,2.8844285430458747,-0.1504673561484493,2.6223769537640735,0.003535533085390466
