model_tag,model_label,bucket,conditioning_context,start_visit,predicted_visit,n_rows,n_patients,obs_ftv_ml_mean,det_ftv_ml_mean,det_ftv_bias_ml_mean,det_ftv_bias_ml_se,det_ftv_mae_ml_mean,det_ftv_mae_ml_se,mc_mean_ftv_ml_mean,mc_mean_ftv_bias_ml_mean,mc_mean_ftv_bias_ml_se,mc_mean_ftv_mae_ml_mean,mc_mean_ftv_mae_ml_se,mc_median_ftv_ml_mean,mc_median_ftv_bias_ml_mean,mc_median_ftv_bias_ml_se,mc_median_ftv_mae_ml_mean,mc_median_ftv_mae_ml_se,coverage90_ftv_raw_mean,coverage90_ftv_conformal_mean,ftv_raw_width90_ml_mean,ftv_conformal_width90_ml_mean,crps_ftv_mean,near_zero_ftv_prob_mean,alive_det_abs_err_mean,alive_count_abs_err_mc_mean_mean,swd_mm_mc_mean_mean,chamfer_mm_mc_mean_mean,dice_mc_mean_mean,high_t3_obs_ftv_p90_threshold_ml,high_t3_n_patients,high_t3_obs_ftv_ml_mean,high_t3_det_ftv_mae_ml_mean,high_t3_mc_mean_ftv_mae_ml_mean,high_t3_mc_median_ftv_mae_ml_mean,subgroup_type,subgroup_value
bio_ftv010_alive000,FTV-only ablation,T0->T1,T0->T1,T0,T1,128,128,17.829507878067034,18.182235227341558,0.35272734927452387,0.40359778483338865,2.6984016189244833,0.326400364270233,21.248348955184277,3.4188410771172437,0.41910121286515384,4.330906615927301,0.34639586584522014,19.261998242447934,1.4324903643808988,0.41881880118570064,3.0391033289313274,0.3447336813574195,0.875,0.90625,18.907853779920714,21.481375429374065,2.5073480107421426,0.059173583984375,7.137526052072644,4.084808349609375,1.1480284363448996,3.365538028650594,0.056375273697165995,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive000,FTV-only ablation,T0->T1,T0->T1,T0,T1,312,312,23.898220145750923,21.69872448321438,-2.199495662536544,0.9266919025286877,5.023156607857968,0.8906072573893894,24.80305226837904,0.9048321226281123,0.9220683776697818,6.1439916315073395,0.8552569177482073,22.786720307446274,-1.111499838304655,0.9163932589381575,5.026292300309859,0.8732213742110625,0.8782051282051282,0.9102564102564102,19.503952505927465,22.077722612195366,4.305329494680436,0.04245542868589743,7.929385575155417,5.096867487980769,1.1631018661204446,3.437791068307423,0.050746452811015516,,0,,,,,subtype,HR+/HER2-
bio_ftv010_alive000,FTV-only ablation,T0->T1,T0->T1,T0,T1,57,57,28.652596897940896,28.617437143228475,-0.03515975471242166,0.9868385809771532,3.9703953803300456,0.8320887904081826,31.757567478402045,3.104970580461145,0.9880548372246096,5.405744368896488,0.7915728280725831,29.790546924638484,1.13795002669759,0.974602719241864,4.297059013478036,0.8020268952311633,0.8070175438596491,0.8596491228070176,19.84491840840415,22.415550112804073,3.4657979641498255,0.0390625,6.8076158950203345,4.157757675438597,1.2280489426283705,3.593220620634884,0.04573805347056893,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive000,FTV-only ablation,T0->T1,T0->T1,T0,T1,261,261,27.03395684154582,24.618297760652165,-2.415659080893658,0.8862415244082599,5.405856717557501,0.8339488368289338,27.794936662976426,0.7609798214306028,0.8725876582325274,6.185441616358203,0.7851648524530407,25.7796995605215,-1.2542572810243204,0.8666525785547003,5.2954528543238535,0.8057817042920511,0.8544061302681992,0.896551724137931,19.315969372535932,21.88888958514855,4.464335648745022,0.038134578544061305,6.9737847378884235,4.065912356321839,1.186552097948348,3.493339556688949,0.04898495713091122,,0,,,,,subtype,TNBC
bio_ftv010_alive000,FTV-only ablation,T0->T2,T0->T2,T0,T2,128,128,18.98369426758927,18.381208606382728,-0.6024856612065446,0.7914316161654844,4.081525911708045,0.7057266517816477,22.70710425163953,3.7234099840502606,0.7952601021210854,5.696468417689479,0.6972032741059077,20.06527149917388,1.081577231584608,0.78532847512571,4.161012656801909,0.6997292296102556,0.875,0.921875,22.968799317986885,27.524840411098506,3.477588110915282,0.059112548828125,12.755176743492484,9.551239013671875,1.1697929994633378,3.4527610165310993,0.053823092704317524,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive000,FTV-only ablation,T0->T2,T0->T2,T0,T2,312,312,24.426798369557684,21.45461682227008,-2.972181547287606,1.0287642142130302,5.704254875815683,0.9910272624961083,25.88026418767933,1.453465818121642,1.010581898366612,7.393001180496831,0.9232141219027187,23.210113296352812,-1.2166850732048704,1.0056432178055315,5.833362248462713,0.9521885317481847,0.8653846153846154,0.907051282051282,23.69906423228571,28.251903389671323,4.958325694609454,0.04422075320512821,8.99709034825747,5.949769631410256,1.1698497491576256,3.4700747696247833,0.04841463682455097,,0,,,,,subtype,HR+/HER2-
bio_ftv010_alive000,FTV-only ablation,T0->T2,T0->T2,T0,T2,57,57,31.34302002757128,27.580259058416985,-3.762760969154297,3.0049708813683877,7.809079205334687,2.862467254824021,32.14080203313163,0.7977820055603448,2.9984560986241866,9.074197790071961,2.744399404814341,29.4217619436264,-1.9212580839448845,2.960110354512035,7.7495291395387484,2.7849154134063028,0.8070175438596491,0.8245614035087719,24.282296101703235,28.81731737493501,6.9094422855504085,0.040501644736842105,13.40035867481901,10.921875,1.2348949578273585,3.6018417526768776,0.047261431184932305,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive000,FTV-only ablation,T0->T2,T0->T2,T0,T2,261,261,26.517871161909653,24.272763295414983,-2.2451078664946715,0.9296470624155048,5.568413929304646,0.8742835031638201,28.697949217852553,2.1800780559428974,0.9027729619216545,7.352216115512398,0.790806316661795,26.127226094637777,-0.39064506727187354,0.8982322872537535,5.793877239474049,0.8235876325037562,0.8620689655172413,0.9003831417624522,23.446037057032033,27.99743589042533,4.9004818469435385,0.03963122605363985,10.648593114938773,7.705414870689655,1.3106159884474433,3.6244381003493036,0.04624020241109855,,0,,,,,subtype,TNBC
bio_ftv010_alive000,FTV-only ablation,T0->T3,T0->T3,T0,T3,128,128,18.06031673771804,19.616791713815577,1.556474976097538,0.7036253676512868,3.8934507376021887,0.6283330983259432,22.223800981421327,4.1634842437032855,0.7301778076866413,5.681438482773933,0.644584532799887,19.66700765782483,1.6066909201067876,0.707716389343516,3.9535496516712207,0.6309624994047276,0.8828125,0.9140625,23.27905423914418,26.246044849694584,3.2731807215741977,0.081939697265625,13.574012708850205,10.92071533203125,1.2992308777666235,3.510761218425627,0.053785585693416134,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive000,FTV-only ablation,T0->T3,T0->T3,T0,T3,312,312,24.151545263727037,22.55727372151685,-1.5942715422101825,0.8755895941577718,5.889961941922297,0.8144207098398514,25.22803218403904,1.0764869203120075,0.8695817855181744,6.952332245848252,0.7774836610667057,22.642705821751495,-1.5088394419755429,0.8689654691407969,5.882219572734348,0.8069483146839767,0.8782051282051282,0.8942307692307693,24.21386993146465,27.17715368163821,4.974217192243825,0.06243739983974359,8.693960548784489,5.964217748397436,1.2050463363834314,3.4760162067497347,0.05068031693672895,,0,,,,,subtype,HR+/HER2-
