model,model_label,conditioning,predicted_visit,n_patients,n_fold_rows,row_mae_ml,row_bias_ml,ensemble_mae_ml,ensemble_bias_ml,mean_obs_ftv_ml,mean_pred_ftv_ml,mean_fold_sd_pred_ftv_ml,row_swd_mm_mean,row_chamfer_mm_mean,row_dice_mean,row_alive_count_abs_err_mean
bio_ftv020_alive005,Endpoint+Active,rollout_from_T0,T3,11,55,20.171914435516705,19.707701564918864,20.17027138471603,19.707701564918864,19.69299282810905,39.40069439302792,1.008535955993425,2.319501192564289,4.283290790243222,0.0417756086119822,0.0909090909090909
no_edges,No-edge endpoint,rollout_from_T0,T3,11,55,19.208009470592845,18.8183890321038,19.208009470592845,18.8183890321038,19.69299282810905,38.51138186021284,1.2563306090294404,2.323783903105718,4.26411580941,0.0468088358874218,0.0909090909090909
radial_bio_k8,Radial-biologic k=8,rollout_from_T0,T3,11,55,16.707343646613033,16.362719950892707,16.704408956657755,16.362719950892707,19.69299282810905,36.05571277900176,2.8467691449194645,2.26046856422563,4.2553958375526335,0.0811872866508064,0.0909090909090909
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T0,T3,11,55,12.405414023182608,12.13069911328229,12.401936330578543,12.130699113282292,19.69299282810905,31.82369194139134,3.589728655817302,2.2807437502000196,4.2658668285431665,0.0459458353554893,0.0909090909090909
