model_tag,model_label,bucket,metric,n,mean,ci95_low,ci95_high
v2_sched_samp_baseline,Baseline,T2->T3,det_ftv_mae_ml,758,13.046735431597394,11.517505422017656,14.746288515877747
v2_sched_samp_baseline,Baseline,T2->T3,mc_mean_ftv_bias_ml,758,7.023957571835267,5.709175603075169,8.233505847716954
v2_sched_samp_baseline,Baseline,T2->T3,mc_mean_ftv_mae_ml,758,13.802116891868737,12.925730726556921,14.829661648122796
v2_sched_samp_baseline,Baseline,T2->T3,raw_90_coverage,758,0.7757255936675461,0.7453825857519789,0.8060686015831134
v2_sched_samp_baseline,Baseline,T2->T3,raw_90_width_ml,758,57.90978281932022,56.72140695813134,59.106034944933924
v2_sched_samp_baseline,Baseline,T2->T3,conformal_90_width_ml,758,60.24950412542999,59.08289536336792,61.44214618701719
v2_sched_samp_baseline,Baseline,T2->T3,crps,758,7.48972825984209,6.7216484392787255,8.353298440020573
v2_sched_samp_baseline,Baseline,T2->T3,mc_alive_abs_err,758,41.641274323878626,37.59073760100594,45.84974503731035
bio_ftv020_alive005,Retained,T0->T3,det_ftv_bias_ml,758,-1.7340523502458325,-2.940758948109129,-0.587587276423238
bio_ftv020_alive005,Retained,T0->T3,det_ftv_mae_ml,758,5.881089204826843,4.829251678568575,7.049563983771463
bio_ftv020_alive005,Retained,T0->T3,mc_mean_ftv_bias_ml,758,1.931607370827989,0.6984390686992952,3.008130489477238
bio_ftv020_alive005,Retained,T0->T3,mc_mean_ftv_mae_ml,758,7.608714231759333,6.643976392395119,8.682978487455545
bio_ftv020_alive005,Retained,T0->T3,raw_90_coverage,758,0.8759894459102903,0.8522427440633246,0.8984168865435356
bio_ftv020_alive005,Retained,T0->T3,raw_90_width_ml,758,24.423730249919142,23.839376805224006,25.0118538168233
bio_ftv020_alive005,Retained,T0->T3,conformal_90_width_ml,758,27.948916634989093,27.371508367483308,28.530067318712273
bio_ftv020_alive005,Retained,T0->T3,crps,758,5.156204494159763,4.204604357169186,6.248963109386557
bio_ftv020_alive005,Retained,T0->T3,mc_alive_abs_err,758,2.6918494393139842,1.4854337586576518,4.27531834906827
bio_ftv020_alive005,Retained,T1->T3,det_ftv_bias_ml,758,-1.9185302533161175,-2.973196552354492,-0.9622410103966642
bio_ftv020_alive005,Retained,T1->T3,det_ftv_mae_ml,758,5.588915532068358,4.724324971070465,6.578931757035852
bio_ftv020_alive005,Retained,T1->T3,mc_mean_ftv_bias_ml,758,2.47042753654457,1.4323410890367632,3.396474447750998
bio_ftv020_alive005,Retained,T1->T3,mc_mean_ftv_mae_ml,758,7.184508866397262,6.378129714532276,8.08846846850759
bio_ftv020_alive005,Retained,T1->T3,raw_90_coverage,758,0.8575197889182058,0.8324538258575198,0.8825857519788918
bio_ftv020_alive005,Retained,T1->T3,raw_90_width_ml,758,24.47034989123393,24.00970975866611,24.951835292871444
bio_ftv020_alive005,Retained,T1->T3,conformal_90_width_ml,758,29.613435182696062,29.15415283162449,30.08342795504739
bio_ftv020_alive005,Retained,T1->T3,crps,758,4.888666915505546,4.11458554704947,5.746335537163468
bio_ftv020_alive005,Retained,T1->T3,mc_alive_abs_err,758,2.645087813324538,1.449509013233839,4.292113162722623
bio_ftv020_alive005,Retained,T2->T3,det_ftv_bias_ml,758,-1.4378882117973009,-2.223337862774464,-0.696157845255305
bio_ftv020_alive005,Retained,T2->T3,det_ftv_mae_ml,758,4.64542312546993,3.9639971631036937,5.364020742238614
bio_ftv020_alive005,Retained,T2->T3,mc_mean_ftv_bias_ml,758,2.1623593496535056,1.391501786852444,2.8944201136285486
bio_ftv020_alive005,Retained,T2->T3,mc_mean_ftv_mae_ml,758,5.8024808441205336,5.188362082430629,6.492035378577001
bio_ftv020_alive005,Retained,T2->T3,raw_90_coverage,758,0.8733509234828496,0.8496042216358839,0.895778364116095
bio_ftv020_alive005,Retained,T2->T3,raw_90_width_ml,758,20.971494792069304,20.73517393057573,21.212758158327848
bio_ftv020_alive005,Retained,T2->T3,conformal_90_width_ml,758,24.192992685026333,23.95896305200258,24.432617143370795
bio_ftv020_alive005,Retained,T2->T3,crps,758,4.024771280863164,3.46901903783077,4.673105611005741
bio_ftv020_alive005,Retained,T2->T3,mc_alive_abs_err,758,2.6647942777044853,1.4438866929831795,4.275020098120053
