model,det_ftv_mae_ml,det_ftv_bias_ml,det_swd_mm,det_chamfer_mm,det_dice,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,mc_crps,mc_raw_coverage90,mc_raw_width90_ml,mc_conformal_width90_ml,mc_alive_abs_err,mc_swd_mm,mc_chamfer_mm,mc_dice
Original graph rollout,12.878218933862831,-12.506295442557057,,,,758,15.261940008902894,10.6942633736246,18.8090106050642,8.354038658331318,0.7664907651715039,56.87184068818678,59.51459803718567,40.783022757255935,1.320410896602223,3.6561073841503404,0.04737038733276247
Endpoint-calibrated graph,5.881089204826843,-1.7340523502458325,,,,758,7.608714231759333,6.080481227480391,10.032045230720366,5.156204494159763,0.8759894459102903,24.423730249919142,27.948916634989093,2.6918494393139842,1.20739733271003,3.4851397698441113,0.051402740422183985
No-edge endpoint graph,5.28026896614875,-1.3863380790978674,1.2901626872458685,2.8379984422347513,0.1352148174195476,758,6.587554317422304,5.37425084833532,8.835067889412644,4.562527789733808,0.8707124010554089,22.871642544320427,26.497081845610953,2.6939313984168867,1.2093851979998402,3.4913500545833305,0.0514596203168209
Radial k=8 graph,5.073283209275924,-1.2787689336020829,1.2852185662475881,2.829558622736166,0.13312405929850255,758,6.253399260964811,5.21693883168717,8.507812903493397,4.383026791012229,0.8641160949868074,21.062715534110406,26.01427251189501,2.6209597625329817,1.171084181626271,3.450284547268825,0.0523479042189251
Radial bio k=8 graph,4.616470163938403,-1.1252568832609071,1.2872291352497136,2.834649657789778,0.13276599876580913,758,5.516595010334665,4.747747588241338,7.623717690080556,3.951583008526116,0.8720316622691293,20.05102569374956,23.290838449816974,2.657115765171504,1.17658460539374,3.457235983089,0.052270399828367155
Hybrid a=0.50 bio k=8 graph,4.6289869363079985,-1.1453992787132403,1.2794818098353526,2.8204632062304125,0.1338098074726102,758,5.564438118856992,4.786559334736832,7.685618913715664,3.997603355081031,0.8773087071240105,19.205547376376046,22.37626217460157,2.7378792875989446,1.171654048819817,3.4485967307112135,0.05283220945373266
Hybrid a=0.75 bio k=8 graph,4.7274733645184766,-1.4904793541596484,1.2789695669408736,2.819634942607279,0.13531504029815505,758,5.8428385578948765,4.908238115054078,7.8380388031156745,4.09920485740847,0.8680738786279684,19.656287096123535,22.997578835683214,2.671668865435356,1.1757560231087594,3.452225434552778,0.05269030261515128
