conditioning,n,det_ftv_mae_ml,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,raw_90_coverage,raw_90_width_ml,crps,auc_t3_ftv_lt5,auc_t3_ftv_gt20,mean_prob_t3_ftv_lt5,mean_prob_t3_ftv_gt20
T0 only,758,4.628973456505415,5.564438118856992,4.786559334736832,0.8773087071240105,19.205547376376046,3.997603355081031,0.9573083020967861,0.9841725419207317,0.1932614610817942,0.3967884234828496
T0+T1,758,4.857391373935336,5.904416062107043,5.023291675478671,0.8654353562005277,20.209778416606458,4.184661091587692,0.9552083661448326,0.982104293699187,0.17514223284960423,0.40577589050131924
T0+T1+T2,758,4.571684475165195,5.67527320225229,4.73106063309781,0.8601583113456465,19.606363315331585,3.943698060603129,0.9541846473682553,0.9848275533536586,0.16198054089709762,0.4077857025065963
