bucket,model,n_patients,center_ftv_mae_ml,mc_mean_ftv_mae_ml,coverage90_ftv_raw,coverage90_ftv_conformal,ftv_raw_width90_ml,ftv_conformal_width90_ml,crps_ftv
T0->T3,hybrid_ridge_graph_last_t0,758,4.481456596491918,4.495711617292635,0.8970976253298153,0.8984168865435356,18.19941597726052,19.106904198329097,3.7067695996597356
T1->T3,hybrid_ridge_graph_last_t0,758,4.410310704782569,4.405962211068256,0.895778364116095,0.8970976253298153,17.926716383365722,18.323465607531862,3.69854240530341
T2->T3,hybrid_ridge_graph_last_t0,758,4.229605976299294,4.232652690536085,0.8931398416886543,0.8970976253298153,16.846222381656982,17.611564798782315,3.5277902087954383
