bucket,model,n_patients,pred_ftv_ml_mean,obs_ftv_ml_mean,bias_ml_mean,mae_ml_mean
T0->T3,fold_calibrated_last_observed,758,24.97348297416018,24.941126401705645,0.03235657245453519,4.782679263946403
T0->T3,fold_subtype_calibrated_last_observed,758,24.989137569378588,24.941126401705645,0.0480111676729445,4.78924009524761
T0->T3,last_observed,758,27.515533383493374,24.941126401705645,2.5744069817877286,4.809439343448678
T0->T3,linear_visit_trend,758,27.515533383493374,24.941126401705645,2.5744069817877286,4.809439343448678
T0->T3,log_linear_visit_trend,758,27.515533383493374,24.941126401705645,2.5744069817877286,4.809439343448678
T1->T3,fold_calibrated_last_observed,758,24.93933019212338,24.941126401705645,-0.0017962095822662057,5.641309834224639
T1->T3,last_observed,758,24.31066286634955,24.941126401705645,-0.6304635353560948,5.657501300425006
T1->T3,fold_subtype_calibrated_last_observed,758,24.93527865144027,24.941126401705645,-0.005847750265370986,5.757411557676821
T1->T3,log_linear_visit_trend,758,22.09381577167046,24.941126401705645,-2.847310630035185,12.348705185243801
T1->T3,linear_visit_trend,758,18.89529975193657,24.941126401705645,-6.045826649769076,13.176230334412912
T2->T3,last_observed,758,24.747744686521646,24.941126401705645,-0.1933817151839993,4.686863653716918
T2->T3,fold_calibrated_last_observed,758,24.93641173965499,24.941126401705645,-0.004714662050655388,4.718150929926171
T2->T3,fold_subtype_calibrated_last_observed,758,24.93200669232855,24.941126401705645,-0.00911970937709385,4.856561106749749
T2->T3,log_linear_visit_trend,758,23.20085927505032,24.941126401705645,-1.7402671266553258,6.0585106265269095
T2->T3,linear_visit_trend,758,22.862663012003804,24.941126401705645,-2.07846338970184,6.357102056919429
