subtype,n,baseline_mc_mean_ftv_mae_ml,retained_mc_mean_ftv_mae_ml,mae_reduction_ml,mae_reduction_ci95_low,mae_reduction_ci95_high,retained_raw_coverage
HR+/HER2+,128,13.658659782122538,4.90291977454915,8.755740007573387,7.507790672392929,9.907706889641673,0.90625
HR+/HER2-,312,14.791231101059788,5.235347252420384,9.555883848639404,8.365248984230554,10.968601952079306,0.8685897435897436
HR-/HER2+,57,18.338697134072575,7.51869337208555,10.820003761987024,7.10720972060503,16.11032721228164,0.9122807017543859
TNBC,261,15.93897407840581,5.85546550952978,10.083508568876029,8.654646507695798,11.681883189013394,0.8659003831417624
