readout,endpoint,score,n,event_rate,auc,sensitivity,specificity,ppv,npv,tp,fp,tn,fn
Low residual MRI burden,T3 FTV < 5 mL,MC probability P(T3 FTV < 5 mL),758,0.20976253298153033,0.9573083020967861,0.7547169811320755,0.9699499165275459,0.8695652173913043,0.9370967741935484,120,18,581,39
Low residual MRI burden,T3 FTV < 5 mL,Last observed FTV < 5 mL,758,0.20976253298153033,0.9613821778435758,0.6792452830188679,0.9799666110183639,0.9,0.9200626959247649,108,12,587,51
High residual MRI burden,T3 FTV > 20 mL,MC probability P(T3 FTV > 20 mL),758,0.3245382585751979,0.9841725419207317,0.967479674796748,0.9140625,0.8439716312056738,0.9831932773109243,238,44,468,8
High residual MRI burden,T3 FTV > 20 mL,Last observed FTV > 20 mL,758,0.3245382585751979,0.9862804878048781,0.9715447154471545,0.90234375,0.8269896193771626,0.9850746268656716,239,50,462,7
