bucket,subtype,n,det_ftv_mae_ml,mc_mean_ftv_mae_ml,raw_90_coverage,conformal_90_coverage,raw_width90_ml,conformal_width90_ml,crps,note
T0->T1,HR+/HER2+,128,3.080695178058383,3.82604093502523,0.859375,0.9140625,16.1120724400999,19.324521378968175,2.629664795515287,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T1,HR+/HER2-,312,4.212427563924171,4.720314206394158,0.8910256410256411,0.9134615384615384,16.536175548151224,19.7485458538389,3.5704005172353552,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T1,HR-/HER2+,57,4.359421067605392,5.133905954094317,0.8070175438596491,0.8771929824561403,17.42798314260614,20.635607866868064,3.7318450779748122,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T1,TNBC,261,4.717415222553979,5.166829628163035,0.8659003831417624,0.8850574712643678,16.314273599410445,19.522927357527642,3.985033385510572,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,HR+/HER2+,128,4.092526286213713,4.59043878834434,0.9140625,0.921875,18.71908451137249,20.34524677118806,3.4780200969354045,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,HR+/HER2-,312,4.404649629138784,4.800911768252033,0.8942307692307693,0.9038461538461539,18.451524167333968,20.07637068724191,3.657207734768416,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,HR-/HER2+,57,7.385817171151399,7.6154129254064005,0.8245614035087719,0.8421052631578947,18.950761596027366,20.57110228383058,6.562028041922638,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,TNBC,261,4.763169194583162,5.29499128548594,0.89272030651341,0.9003831417624522,19.184637957198426,20.809231747499588,4.014549843835603,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T3,HR+/HER2+,128,3.289231551446745,4.90291977454915,0.90625,0.921875,19.588431596840792,22.760154527078328,3.1297210313334003,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T3,HR+/HER2-,312,4.492034021830301,5.235347252420384,0.8685897435897436,0.8942307692307693,18.969353751650683,22.1397380852776,3.770381261762433,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
