model,model_label,conditioning,predicted_visit,n_patients,ftv_abs_err_ml_det_mean,ftv_abs_err_ml_mc_mean_mean,crps_ftv_mean,ftv_raw_width90_ml_mean,coverage90_ftv_raw_mean,ftv_conformal_width90_ml_mean,coverage90_ftv_conformal_mean,pred_ftv_det_ml_mean,obs_ftv_ml_mean,ftv_mc_mean_ml_mean,bias_det_ml_mean,bias_mc_mean_ml_mean
bio_ftv020_alive005,Endpoint+Active,rollout_from_T1,T2,11,11.526690936088563,16.320240041101112,12.29644780777454,24.627510788288077,0.4545454545454545,28.760426628745176,0.5454545454545454,30.88874326619235,19.44776620648124,35.76800624758235,11.44097705971111,16.320240041101112
no_edges,No-edge endpoint,rollout_from_T1,T2,11,10.08685330369256,14.46741027634843,10.786415786115954,21.41800633223272,0.5454545454545454,25.322409348914313,0.6363636363636364,29.45463512485678,19.44776620648124,33.91517648282967,10.006868918375536,14.46741027634843
radial_bio_k8,Radial-biologic k=8,rollout_from_T1,T2,11,10.240533798391168,12.191294578016198,9.758577824707707,16.833548497954794,0.6363636363636364,19.182961151600303,0.6363636363636364,29.619016753543505,19.44776620648124,31.63906078449744,10.171250547062265,12.191294578016198
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T1,T2,11,10.575953390381551,12.810610877168877,10.18148191140888,17.6373279074592,0.4545454545454545,20.247741538190823,0.5454545454545454,29.962787450443617,19.44776620648124,32.25837708365012,10.515021243962371,12.810610877168877
bio_ftv020_alive005,Endpoint+Active,rollout_from_T1,T3,11,16.450881011919545,20.239517578896347,16.24921771779617,25.448059766800274,0.4545454545454545,29.754909832144445,0.4545454545454545,35.50431422645396,19.69299282810905,39.932510407005395,15.811321398344909,20.239517578896347
no_edges,No-edge endpoint,rollout_from_T1,T3,11,14.915830521150069,18.52923615591133,14.749695521421351,23.294337398235143,0.4545454545454545,27.32317129309498,0.5454545454545454,34.039591830427,19.69299282810905,38.222228984020376,14.346599002317948,18.52923615591133
radial_bio_k8,Radial-biologic k=8,rollout_from_T1,T3,11,13.23668869083578,15.59535846777567,12.75006283785259,19.7482281216287,0.5454545454545454,22.47294177712844,0.5454545454545454,32.36314726200971,19.69299282810905,35.28835129588472,12.670154433900656,15.59535846777567
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T1,T3,11,10.809868768128483,13.975198920555806,11.022529578374526,18.101216741860675,0.5454545454545454,22.63920391874574,0.5454545454545454,30.012524738095024,19.69299282810905,33.66819174866485,10.319531909985976,13.975198920555806
bio_ftv020_alive005,Endpoint+Active,rollout_from_T2,T3,11,10.556717637452213,14.073832732744656,10.62162863432959,21.850348861754245,0.5454545454545454,24.47953926963397,0.6363636363636364,29.613626492023467,19.69299282810905,33.766825560853704,9.92063366391442,14.073832732744656
no_edges,No-edge endpoint,rollout_from_T2,T3,11,6.935728676752611,9.700271682619844,6.830530405733096,20.609444027933776,0.6363636363636364,22.500260418789527,0.7272727272727273,26.007305454124104,19.69299282810905,29.393264510728898,6.314312626015058,9.700271682619844
radial_bio_k8,Radial-biologic k=8,rollout_from_T2,T3,11,6.684488326852972,8.717201308757428,6.494849575726064,18.518844764455068,0.7272727272727273,21.5559168136656,0.7272727272727273,25.600138644738635,19.69299282810905,28.335409297313937,5.907145816629583,8.642416469204887
hybrid_a50_bio_k8,Hybrid-Edge k=8,rollout_from_T2,T3,11,7.278861782767556,10.72880638564174,7.808951586564066,20.065235438377716,0.7272727272727273,24.004041878197427,0.7272727272727273,25.981719019196248,19.69299282810905,30.421799213750795,6.288726191087203,10.72880638564174
bio_ftv020_alive005,Endpoint+Active,teacher_forced,T1,11,12.692214650186626,11.20420615773084,10.353395202592615,15.169858510929146,0.7272727272727273,17.715568334857092,0.8181818181818182,23.23341345489025,25.974476066502657,26.323080134154523,-2.7410626116124077,0.3486040676518711
no_edges,No-edge endpoint,teacher_forced,T1,11,9.627002400701697,9.250301471111134,8.043225682978832,14.683113345885705,0.7272727272727273,15.876990172397887,0.7272727272727273,25.80284108356996,25.974476066502657,27.485653356294712,-0.1716349829326976,1.5111772897920568
